Effective Date,Change% points,Cash rate target%,Related Documents
3 Aug 2022,0.5,1.85,Statement Minutes
6 Jul 2022,0.5,1.35,Statement Minutes
8 Jun 2022,0.5,0.85,Statement Minutes
4 May 2022,0.25,0.35,Statement Minutes
6 Apr 2022,0,0.1,Statement Minutes
2 Mar 2022,0,0.1,Statement Minutes
2 Feb 2022,0,0.1,Statement Minutes
8 Dec 2021,0,0.1,Statement Minutes
3 Nov 2021,0,0.1,Statement Minutes
6 Oct 2021,0,0.1,Statement Minutes
8 Sep 2021,0,0.1,Statement Minutes
4 Aug 2021,0,0.1,Statement Minutes
7 Jul 2021,0,0.1,Statement Minutes
2 Jun 2021,0,0.1,Statement Minutes
5 May 2021,0,0.1,Statement Minutes
7 Apr 2021,0,0.1,Statement Minutes
3 Mar 2021,0,0.1,Statement Minutes
3 Feb 2021,0,0.1,Statement Minutes
2 Dec 2020,0,0.1,Statement Minutes
4 Nov 2020,-0.15,0.1,Statement Minutes
7 Oct 2020,0,0.25,Statement Minutes
2 Sep 2020,0,0.25,Statement Minutes
5 Aug 2020,0,0.25,Statement Minutes
8 Jul 2020,0,0.25,Statement Minutes
3 Jun 2020,0,0.25,Statement Minutes
6 May 2020,0,0.25,Statement Minutes
8 Apr 2020,0,0.25,Statement Minutes
20 Mar 2020,-0.25,0.25,Statement Minutes
4 Mar 2020,-0.25,0.5,Statement Minutes
5 Feb 2020,0,0.75,Statement Minutes
4 Dec 2019,0,0.75,Statement Minutes
6 Nov 2019,0,0.75,Statement Minutes
2 Oct 2019,-0.25,0.75,Statement Minutes
4 Sep 2019,0,1,Statement Minutes
7 Aug 2019,0,1,Statement Minutes
3 Jul 2019,-0.25,1,Statement Minutes
5 Jun 2019,-0.25,1.25,Statement Minutes
8 May 2019,0,1.5,Statement Minutes
3 Apr 2019,0,1.5,Statement Minutes
6 Mar 2019,0,1.5,Statement Minutes
6 Feb 2019,0,1.5,Statement Minutes
5 Dec 2018,0,1.5,Statement Minutes
7 Nov 2018,0,1.5,Statement Minutes
3 Oct 2018,0,1.5,Statement Minutes
5 Sep 2018,0,1.5,Statement Minutes
8 Aug 2018,0,1.5,Statement Minutes
4 Jul 2018,0,1.5,Statement Minutes
6 Jun 2018,0,1.5,Statement Minutes
2 May 2018,0,1.5,Statement Minutes
4 Apr 2018,0,1.5,Statement Minutes
7 Mar 2018,0,1.5,Statement Minutes
7 Feb 2018,0,1.5,Statement Minutes
6 Dec 2017,0,1.5,Statement Minutes
8 Nov 2017,0,1.5,Statement Minutes
4 Oct 2017,0,1.5,Statement Minutes
6 Sep 2017,0,1.5,Statement Minutes
2 Aug 2017,0,1.5,Statement Minutes
5 Jul 2017,0,1.5,Statement Minutes
7 Jun 2017,0,1.5,Statement Minutes
3 May 2017,0,1.5,Statement Minutes
5 Apr 2017,0,1.5,Statement Minutes
8 Mar 2017,0,1.5,Statement Minutes
8 Feb 2017,0,1.5,Statement Minutes
7 Dec 2016,0,1.5,Statement Minutes
2 Nov 2016,0,1.5,Statement Minutes
5 Oct 2016,0,1.5,Statement Minutes
7 Sep 2016,0,1.5,Statement Minutes
3 Aug 2016,-0.25,1.5,Statement Minutes
6 Jul 2016,0,1.75,Statement Minutes
8 Jun 2016,0,1.75,Statement Minutes
4 May 2016,-0.25,1.75,Statement Minutes
6 Apr 2016,0,2,Statement Minutes
2 Mar 2016,0,2,Statement Minutes
3 Feb 2016,0,2,Statement Minutes
2 Dec 2015,0,2,Statement Minutes
4 Nov 2015,0,2,Statement Minutes
7 Oct 2015,0,2,Statement Minutes
2 Sep 2015,0,2,Statement Minutes
5 Aug 2015,0,2,Statement Minutes
8 Jul 2015,0,2,Statement Minutes
3 Jun 2015,0,2,Statement Minutes
6 May 2015,-0.25,2,Statement Minutes
8 Apr 2015,0,2.25,Statement Minutes
4 Mar 2015,0,2.25,Statement Minutes
4 Feb 2015,-0.25,2.25,Statement Minutes
3 Dec 2014,0,2.5,Statement Minutes
5 Nov 2014,0,2.5,Statement Minutes
8 Oct 2014,0,2.5,Statement Minutes
3 Sep 2014,0,2.5,Statement Minutes
6 Aug 2014,0,2.5,Statement Minutes
2 Jul 2014,0,2.5,Statement Minutes
4 Jun 2014,0,2.5,Statement Minutes
7 May 2014,0,2.5,Statement Minutes
2 Apr 2014,0,2.5,Statement Minutes
5 Mar 2014,0,2.5,Statement Minutes
5 Feb 2014,0,2.5,Statement Minutes
4 Dec 2013,0,2.5,Statement Minutes
6 Nov 2013,0,2.5,Statement Minutes
2 Oct 2013,0,2.5,Statement Minutes
4 Sep 2013,0,2.5,Statement Minutes
7 Aug 2013,-0.25,2.5,Statement Minutes
3 Jul 2013,0,2.75,Statement Minutes
5 Jun 2013,0,2.75,Statement Minutes
8 May 2013,-0.25,2.75,Statement Minutes
3 Apr 2013,0,3,Statement Minutes
6 Mar 2013,0,3,Statement Minutes
6 Feb 2013,0,3,Statement Minutes
5 Dec 2012,-0.25,3,Statement Minutes
7 Nov 2012,0,3.25,Statement Minutes
3 Oct 2012,-0.25,3.25,Statement Minutes
5 Sep 2012,0,3.5,Statement Minutes
8 Aug 2012,0,3.5,Statement Minutes
4 Jul 2012,0,3.5,Statement Minutes
6 Jun 2012,-0.25,3.5,Statement Minutes
2 May 2012,-0.5,3.75,Statement Minutes
4 Apr 2012,0,4.25,Statement Minutes
7 Mar 2012,0,4.25,Statement Minutes
8 Feb 2012,0,4.25,Statement Minutes
7 Dec 2011,-0.25,4.25,Statement Minutes
2 Nov 2011,-0.25,4.5,Statement Minutes
5 Oct 2011,0,4.75,Statement Minutes
7 Sep 2011,0,4.75,Statement Minutes
3 Aug 2011,0,4.75,Statement Minutes
6 Jul 2011,0,4.75,Statement Minutes
8 Jun 2011,0,4.75,Statement Minutes
4 May 2011,0,4.75,Statement Minutes
6 Apr 2011,0,4.75,Statement Minutes
2 Mar 2011,0,4.75,Statement Minutes
2 Feb 2011,0,4.75,Statement Minutes
8 Dec 2010,0,4.75,Statement Minutes
3 Nov 2010,0.25,4.75,Statement Minutes
6 Oct 2010,0,4.5,Statement Minutes
8 Sep 2010,0,4.5,Statement Minutes
4 Aug 2010,0,4.5,Statement Minutes
7 Jul 2010,0,4.5,Statement Minutes
2 Jun 2010,0,4.5,Statement Minutes
5 May 2010,0.25,4.5,Statement Minutes
7 Apr 2010,0.25,4.25,Statement Minutes
3 Mar 2010,0.25,4,Statement Minutes
3 Feb 2010,0,3.75,Statement Minutes
2 Dec 2009,0.25,3.75,Statement Minutes
4 Nov 2009,0.25,3.5,Statement Minutes
7 Oct 2009,0.25,3.25,Statement Minutes
2 Sep 2009,0,3,Statement Minutes
5 Aug 2009,0,3,Statement Minutes
8 Jul 2009,0,3,Statement Minutes
3 Jun 2009,0,3,Statement Minutes
6 May 2009,0,3,Statement Minutes
8 Apr 2009,-0.25,3,Statement Minutes
4 Mar 2009,0,3.25,Statement Minutes
4 Feb 2009,-1,3.25,Statement Minutes
3 Dec 2008,-1,4.25,Statement Minutes
5 Nov 2008,-0.75,5.25,Statement Minutes
8 Oct 2008,-1,6,Statement Minutes
3 Sep 2008,-0.25,7,Statement Minutes
6 Aug 2008,0,7.25,Statement Minutes
2 Jul 2008,0,7.25,Statement Minutes
4 Jun 2008,0,7.25,Statement Minutes
7 May 2008,0,7.25,Statement Minutes
2 Apr 2008,0,7.25,Statement Minutes
5 Mar 2008,0.25,7.25,Statement Minutes
6 Feb 2008,0.25,7,Statement Minutes
5 Dec 2007,0,6.75,Statement Minutes
7 Nov 2007,0.25,6.75,Statement Minutes
3 Oct 2007,0,6.5,Minutes
5 Sep 2007,0,6.5,Minutes
8 Aug 2007,0.25,6.5,Statement Minutes
4 Jul 2007,0,6.25,Minutes
6 Jun 2007,0,6.25,Minutes
2 May 2007,0,6.25,Minutes
4 Apr 2007,0,6.25,Minutes
7 Mar 2007,0,6.25,Minutes
7 Feb 2007,0,6.25,Minutes
6 Dec 2006,0,6.25,Minutes
8 Nov 2006,0.25,6.25,Statement Minutes
4 Oct 2006,0,6,Minutes
6 Sep 2006,0,6,
2 Aug 2006,0.25,6,Statement
5 Jul 2006,0,5.75,
7 Jun 2006,0,5.75,
3 May 2006,0.25,5.75,Statement
5 Apr 2006,0,5.5,
8 Mar 2006,0,5.5,
8 Feb 2006,0,5.5,
7 Dec 2005,0,5.5,
2 Nov 2005,0,5.5,
5 Oct 2005,0,5.5,
7 Sep 2005,0,5.5,
3 Aug 2005,0,5.5,
6 Jul 2005,0,5.5,
8 Jun 2005,0,5.5,
4 May 2005,0,5.5,
6 Apr 2005,0,5.5,
2 Mar 2005,0.25,5.5,Statement
2 Feb 2005,0,5.25,
8 Dec 2004,0,5.25,
3 Nov 2004,0,5.25,
6 Oct 2004,0,5.25,
8 Sep 2004,0,5.25,
4 Aug 2004,0,5.25,
7 Jul 2004,0,5.25,
2 Jun 2004,0,5.25,
5 May 2004,0,5.25,
7 Apr 2004,0,5.25,
3 Mar 2004,0,5.25,
4 Feb 2004,0,5.25,
3 Dec 2003,0.25,5.25,Statement
5 Nov 2003,0.25,5,Statement
8 Oct 2003,0,4.75,
3 Sep 2003,0,4.75,
6 Aug 2003,0,4.75,
2 Jul 2003,0,4.75,
4 Jun 2003,0,4.75,
7 May 2003,0,4.75,
2 Apr 2003,0,4.75,
5 Mar 2003,0,4.75,
5 Feb 2003,0,4.75,
4 Dec 2002,0,4.75,
6 Nov 2002,0,4.75,
2 Oct 2002,0,4.75,
4 Sep 2002,0,4.75,
7 Aug 2002,0,4.75,
3 Jul 2002,0,4.75,
5 Jun 2002,0.25,4.75,Statement
8 May 2002,0.25,4.5,Statement
3 Apr 2002,0,4.25,
6 Mar 2002,0,4.25,
6 Feb 2002,0,4.25,
5 Dec 2001,-0.25,4.25,Statement
7 Nov 2001,0,4.5,
3 Oct 2001,-0.25,4.5,Statement
5 Sep 2001,-0.25,4.75,Statement
8 Aug 2001,0,5,
4 Jul 2001,0,5,
6 Jun 2001,0,5,
2 May 2001,0,5,
4 Apr 2001,-0.5,5,Statement
7 Mar 2001,-0.25,5.5,Statement
7 Feb 2001,-0.5,5.75,Statement
6 Dec 2000,0,6.25,
8 Nov 2000,0,6.25,
4 Oct 2000,0,6.25,
6 Sep 2000,0,6.25,
2 Aug 2000,0.25,6.25,Statement
5 Jul 2000,0,6,
7 Jun 2000,0,6,
3 May 2000,0.25,6,Statement
5 Apr 2000,0.25,5.75,Statement
8 Mar 2000,0,5.5,
2 Feb 2000,0.5,5.5,Statement
8 Dec 1999,0,5,
3 Nov 1999,0.25,5,Statement
6 Oct 1999,0,4.75,
8 Sep 1999,0,4.75,
4 Aug 1999,0,4.75,
7 Jul 1999,0,4.75,
2 Jun 1999,0,4.75,
5 May 1999,0,4.75,
7 Apr 1999,0,4.75,
3 Mar 1999,0,4.75,
3 Feb 1999,0,4.75,
2 Dec 1998,-0.25,4.75,Statement
4 Nov 1998,0,5,
7 Oct 1998,0,5,
2 Sep 1998,0,5,
5 Aug 1998,0,5,
8 Jul 1998,0,5,
3 Jun 1998,0,5,
6 May 1998,0,5,
8 Apr 1998,0,5,
4 Mar 1998,0,5,
4 Feb 1998,0,5,
3 Dec 1997,0,5,
5 Nov 1997,0,5,
8 Oct 1997,0,5,
3 Sep 1997,0,5,
6 Aug 1997,0,5,
30 Jul 1997,-0.5,5,Statement
2 Jul 1997,0,5.5,
4 Jun 1997,0,5.5,
23 May 1997,-0.5,5.5,Statement
7 May 1997,0,6,
2 Apr 1997,0,6,
5 Mar 1997,0,6,
5 Feb 1997,0,6,
11 Dec 1996,-0.5,6,Statement
6 Nov 1996,-0.5,6.5,Statement
2 Oct 1996,0,7,
4 Sep 1996,0,7,
31 Jul 1996,-0.5,7,Statement
3 Jul 1996,0,7.5,
5 Jun 1996,0,7.5,
8 May 1996,0,7.5,
3 Apr 1996,0,7.5,
6 Mar 1996,0,7.5,
7 Feb 1996,0,7.5,
6 Dec 1995,0,7.5,
8 Nov 1995,0,7.5,
4 Oct 1995,0,7.5,
6 Sep 1995,0,7.5,
26 Jul 1995,0,7.5,
5 Jul 1995,0,7.5,
7 Jun 1995,0,7.5,
3 May 1995,0,7.5,
5 Apr 1995,0,7.5,
8 Mar 1995,0,7.5,
8 Feb 1995,0,7.5,
14 Dec 1994,1,7.5,Statement
2 Nov 1994,0,6.5,
24 Oct 1994,1,6.5,Statement
7 Sep 1994,0,5.5,
17 Aug 1994,0.75,5.5,Statement
27 Jul 1994,0,4.75,
6 Jul 1994,0,4.75,
8 Jun 1994,0,4.75,
4 May 1994,0,4.75,
30 Mar 1994,0,4.75,
2 Mar 1994,0,4.75,
2 Feb 1994,0,4.75,
8 Dec 1993,0,4.75,
3 Nov 1993,0,4.75,
6 Oct 1993,0,4.75,
8 Sep 1993,0,4.75,
30 Jul 1993,-0.5,4.75,Statement
7 Jul 1993,0,5.25,
2 Jun 1993,0,5.25,
5 May 1993,0,5.25,
7 Apr 1993,0,5.25,
23 Mar 1993,-0.5,5.25,Statement
3 Feb 1993,0,5.75,
2 Dec 1992,0,5.75,
4 Nov 1992,0,5.75,
7 Oct 1992,0,5.75,
2 Sep 1992,0,5.75,
29 Jul 1992,0,5.75,
8 Jul 1992,-0.75,5.75,Statement
3 Jun 1992,0,6.5,
6 May 1992,-1,6.5,Statement
8 Apr 1992,0,7.5,
4 Mar 1992,0,7.5,
5 Feb 1992,0,7.5,
8 Jan 1992,-1,7.5,Statement
4 Dec 1991,0,8.5,
6 Nov 1991,-1,8.5,Statement
2 Oct 1991,0,9.5,
3 Sep 1991,-1,9.5,Statement
31 Jul 1991,0,10.5,
3 Jul 1991,0,10.5,
14 Jun 1991,0,10.5,
16 May 1991,-1,10.5,Statement
4 Apr 1991,-0.5,11.5,Statement
6 Mar 1991,0,12,
6 Feb 1991,0,12,
18 Dec 1990,-1,12,Statement
7 Nov 1990,0,13,
15 Oct 1990,-1,13,Statement
5 Sep 1990,0,14,
2 Aug 1990,-1,14,Statement
4 Jul 1990,0,15.00 to 15.50,
6 Jun 1990,0,15.00 to 15.50,
2 May 1990,0,15.00 to 15.50,
4 Apr 1990,-1.00 to -1.50,15.00 to 15.50,Statement
7 Mar 1990,0,16.50 to 17.00,
15 Feb 1990,-0.5,16.50 to 17.00,Statement
23 Jan 1990,-0.50 to -1.00,17.00 to 17.50,Statement
